ID;Aluno;Matricula;Turma;CPF;Nascimento;PalavraChave;Senha
1;Domakh;akh34430;BEB1970;50779018258;01/11/1994;;
2;Cuekay;kay12785;BEB1970;98628566148;21/02/1973;;
3;Zunoru;oru11111;BEB1970;86168178155;10/11/1971;;
4;Ushri;hri94565;BEB1970;21203942868;12/03/1987;;
5;Isxoti;oti16741;BEB1970;65304174923;23/12/2005;;
6;Daoreapen;pen89050;BEB1970;61479236384;10/10/1989;;
7;Daefe;efe98430;BEB1970;93285383824;29/05/1994;;
8;Kios;ios47926;BEB1970;98579850469;08/01/2001;;
9;Ferim;rim32587;BEB1970;15623503904;27/09/1979;;
10;Amrod;rod79114;BEB1970;52761673339;25/05/1986;;
11;Aegve;gve49958;HZF0457;47015426354;19/11/1977;;
12;Ziub;iub56121;HZF0457;34084218492;07/01/1973;;
13;Dezsoi;soi74836;HZF0457;29542964567;07/12/1977;;
14;Thuresgio;gio93432;HZF0457;24307934632;18/09/2006;;
15;Liupen;pen69274;HZF0457;28726559556;24/03/1974;;
16;Isfos;fos26386;HZF0457;96258828084;06/07/1985;;
17;Kasoy;soy48908;HZF0457;27105107701;11/11/1987;;
18;Kubogen;gen83523;HZF0457;35307949641;31/12/1976;;
19;Brodnazuo;zuo51025;HZF0457;88814727370;15/02/1994;;
20;Pevi;evi77288;HZF0457;12372390536;26/06/1977;;
21;Doaul;aul89591;JVK4352;58887149603;25/10/1990;;
22;Thuos;uos90385;JVK4352;69820016770;14/02/1973;;
23;Kabuk;buk33853;JVK4352;82741013490;27/09/1988;;
24;Nialn;aln17865;JVK4352;54810628540;17/06/1972;;
25;Furion;ion84082;JVK4352;74326094222;27/01/2005;;
26;Wailas;las67449;JVK4352;22012798164;06/08/1987;;
27;Ciulg;ulg41249;JVK4352;46747184443;18/05/1982;;
28;Dauthir;hir56037;JVK4352;31133977059;01/01/2000;;
29;Gratmakh;akh64863;JVK4352;42414159188;18/03/2005;;
30;Durluaili;ili41351;JVK4352;38144059058;22/07/1996;;
31;Pielyora;ora37722;JVO8046;71754234511;15/02/1999;;
32;Soloa;loa13238;JVO8046;19565161427;25/08/2001;;
33;Ghamre;mre39420;JVO8046;15112423346;21/04/1997;;
34;Leingose;ose89330;JVO8046;76827431817;19/10/1980;;
35;Elrod;rod97441;JVO8046;61374869504;24/01/1983;;
36;Xiegiharzol;zol91974;JVO8046;65972671640;14/03/2003;;
37;Huifu;ifu16666;JVO8046;76036333195;15/10/1977;;
38;Xuwu;uwu41548;JVO8046;59914836567;08/01/1975;;
39;Linalxe;lxe87799;JVO8046;39008403403;17/08/1999;;
40;Xohu;ohu56064;JVO8046;14831439979;03/02/2010;;
41;Agbuixi;ixi11941;KPZ2261;48688954913;28/06/1972;;
42;Zuithal;hal17977;KPZ2261;78895126267;22/07/1980;;
43;Zoyzol;zol22680;KPZ2261;79044586272;06/08/2005;;
44;Labioili;ili48094;KPZ2261;40639817429;12/11/1986;;
45;Pyeruoco;oco66385;KPZ2261;44932909406;25/07/1995;;
46;Viat;iat38088;KPZ2261;74960737377;15/08/1980;;
47;Dahkipui;pui28536;KPZ2261;11196881122;16/03/1998;;
48;Unluloi;loi98136;KPZ2261;42964898322;02/07/1984;;
49;Irhnikh;ikh45568;KPZ2261;22648772358;09/12/1978;;
50;Gewiurti;rti59131;KPZ2261;81965868660;14/09/1970;;
51;Gehiuthalion;ion22436;NCS7756;45968809825;26/10/1984;;
52;Dwzye;zye78315;NCS7756;68467800048;18/07/1978;;
53;Gramce;mce47719;NCS7756;35479428740;02/05/2004;;
54;Xuriupio;pio12456;NCS7756;98578869036;18/06/1983;;
55;Pinkeuxya;xya13868;NCS7756;90060267371;25/04/1976;;
56;Kevus;vus52270;NCS7756;18775854732;11/05/2000;;
57;Xarion;ion31964;NCS7756;60373072061;28/03/1988;;
58;Hoabo;abo79772;NCS7756;17768428383;16/10/1994;;
59;Thrli;rli30597;NCS7756;80106301046;03/01/1994;;
60;Jotvafi;afi68062;NCS7756;45940314962;04/03/1982;;
